Team,Player,Pos,Status,Reported,ImpactMultiplier,AutoAdjEM_delta,Source,Note
Rhode Island,Jaymien Aponte,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Aponte is questionable with undisclosed"
Rhode Island,Javon Perry,F,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Perry is questionable with undisclosed"
Rice,Dallas Hobbs,G,Questionable,Mar 8,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Hobbs is questionable with undisclosed"
Rice,Aaron Powell,G,Out for season,Jan 24,,-0.1,covers_raw:injuries_raw.txt,is out for season Powell is out for season with undisclosed
Richmond,Bryson McGlothin,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" McGlothin is questionable with undisclosed"
Rutgers,Baye Fall,C,Out,Jan 24,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Fall is out with hand
Rutgers,Dorian Jones,G,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Jones is out for season with redshirt
St. Joseph's,Steven Solano,C,Questionable,Mar 4,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Solano is questionable with undisclosed"
St. Joseph's,Owen Verna,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Verna is questionable with undisclosed"
St. Mary's CA,Kevin Gad,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Gad is out with shoulder
St. Mary's CA,Isaiah Manning,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Manning is out for season with undisclosed
St. Mary's CA,Justin Begg,G,Out for season,Feb 14,,-0.1,covers_raw:injuries_raw.txt,is out for season Begg is out for season with undisclosed
St. Mary's CA,Jaxson Ford,F,Out for season,Jan 28,,-0.1,covers_raw:injuries_raw.txt,is out for season Ford is out for season with undisclosed
St. Mary's CA,Noah Benny,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Benny is out for season with undisclosed
St. Mary's CA,Nathan Nguyen,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Nguyen is out for season with undisclosed
San Diego St.,Elzie Harrington,G,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Thursday vs Colorado State Harrington is out with undisclosed
San Jose St.,JaVaughn Hannah,G,Out,Jan 27,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Hannah is out with undisclosed
San Jose St.,Pasha Goodarzi,G,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs New Mexico Goodarzi is questionable with undisclosed"
San Jose St.,Jaden Goodall,F,Out,Jan 27,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Goodall is out with undisclosed
San Jose St.,Yaphet Moundi,F,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs New Mexico Moundi is questionable with undisclosed"
San Jose St.,Ben Roseborough,G,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs New Mexico Roseborough is questionable with undisclosed"
Santa Clara,Gehrig Normand,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Normand is out with undisclosed
Santa Clara,Chris Tadjo,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Tadjo is out for season with undisclosed
Seton Hall,Patrick Suemnick,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Suemnick is out with shoulder
