team,adjoe,adjde,adjt,barthag
Vermont,104.80760815421812,112.44525178063684,64.70463776279418,0.308122605364358
UNC Asheville,103.7682800266786,111.33485178693488,64.80707495333043,0.3080198431088161
Fairfield,105.38461377862237,113.10092821082486,67.05346047251068,0.3073292019036564
East Carolina,103.60464155085428,111.27665656862236,68.65516118778997,0.3054390306325317
Idaho St.,108.80304976128508,116.95819827880878,65.23152881534308,0.303393910621011
SIU Edwardsville,98.88492519529667,106.34023017091644,64.41665589840669,0.3023992026494045
Southern Utah,106.35222359337315,114.48723424163664,70.36991562308543,0.2999304503472262
Tennessee Martin,97.95877086052424,105.52274307807572,64.29608441534904,0.2983080272668251
Elon,108.01697292113828,116.39557487940706,66.83029408916413,0.2975230922526099
Purdue Fort Wayne,104.92888456833047,113.3235352431013,67.70708899996428,0.2921248479443848
Sacramento St.,105.52847738422454,114.07936025184031,71.65531158262381,0.2898721004552756
North Dakota,106.74470534642276,115.40831802090366,67.31803619286475,0.2895813139753389
Wofford,108.16891397926756,117.04980288403112,67.83675938659174,0.2875294902018254
Longwood,103.04446571849276,111.72254640365507,68.52733466056151,0.2829518556665858
UTEP,101.1295104285721,109.68325399963751,65.23568032424491,0.28216669773923
Dartmouth,104.58153180451347,113.43893322125942,69.53902359276775,0.2819269410344115
Lindenwood,100.1868141700718,108.72137803881536,72.39827712226457,0.2808707734385731
Milwaukee,106.0277927207134,115.19649004728194,67.63067060863611,0.2781238078384861
Incarnate Word,108.53561588636546,118.04244378572736,65.45751105454242,0.2757568693049941
Loyola Chicago,103.21434449492456,112.2994824251382,65.76437287981229,0.2748493607433594
Delaware,105.64286733570356,115.0654490031732,63.140482785831466,0.2723912789198229
South Dakota,104.35912137197262,113.85429446210053,69.96068877293588,0.2686589999824816
Mount St. Mary's,99.16025264274404,108.2612598163963,67.7992064819417,0.2670157796909841
Ball St.,99.04452464647484,108.28255235927362,63.65277238389224,0.2639560443178343
Western Michigan,107.14761826750389,117.50103272375692,67.80235422139685,0.2571650594617643
Prairie View A&M,101.42064204704968,111.39828917057062,70.86896997262694,0.2536751816489541
Presbyterian,102.4615855371192,112.54313235991415,64.19673579948515,0.2536463019951696
Lehigh,102.57586142933536,112.76923813377309,66.86898816344844,0.2517084935075471
Mercyhurst,101.32032896031129,111.47353246801129,64.58847504713376,0.2500676896815289
Jacksonville,103.4119714133335,113.8464949178366,63.52342947470082,0.2487111286833706
Louisiana,101.5639056299892,111.82695713055674,63.27054325224708,0.2484229412897365
Arkansas Pine Bluff,104.91505123904048,115.81866456104616,69.28082332472603,0.2428606378836148
UNC Greensboro,107.84877973971048,119.07438593472791,67.66782320611657,0.2425571363355636
Brown,97.77170213008829,107.95400295704331,66.68865806557034,0.24244788750001
Morehead St.,106.41476873772362,117.7032306248913,65.3321825379356,0.2387665026419008
IU Indy,106.16675255374588,117.47505528939207,73.67010598488105,0.2379461683781822
Florida A&M,98.84488871119916,109.4200505123056,67.98084490692905,0.2370563028516427
Northeastern,106.96571495932554,118.52604899768484,69.74159405351472,0.2350197316160684
East Texas A&M,100.59985113034855,111.4846819486462,68.38851993233428,0.2347881953690044
West Georgia,102.12661204580868,113.23029820251772,69.0646382897828,0.2338102251593511
Southeastern Louisiana,99.35664482117842,110.16022306477588,65.42551431776373,0.2337904776426408
Sacred Heart,106.82668908130222,118.5794021013302,68.3996580607424,0.2314196229346316
Bellarmine,114.9529948368258,127.7829625179225,64.5961091300701,0.2284976090237922
Eastern Kentucky,108.59512459945242,120.92073699017844,67.24662202414919,0.2250718481077022
Grambling St.,96.32785976785604,107.29189624829598,67.51287933468485,0.2244971312986805
Oral Roberts,102.29976080379308,114.00641578767896,67.72576253881796,0.2233941942249783
Evansville,102.31667205609293,114.27234849385592,66.95546813517414,0.2191053002487014
USC Upstate,99.08700099048735,110.81543518885876,67.57773315094045,0.2164492360402974
Hampton,100.63409400725496,112.616514199454,65.3991102183334,0.2152240817093226
Northwestern St.,100.66796986710904,112.7201746286834,64.78429461192565,0.2140929034376858
