Team,AdjEM_torvik,Tempo_torvik,AdjEM_kenpom,Tempo_kenpom,AdjEM_evanmiya,Tempo_evanmiya,AdjEM_blend,Tempo_blend,sources_used,InjuryAdj,AdjEM_current,source_count
Vanderbilt,25.857210716911666,69.17316739275584,,,,,25.857210716911666,69.17316739275584,torvik,0.0,25.857210716911666,1
Virginia,25.210268027822877,65.51579543856354,,,,,25.210268027822877,65.51579543856354,torvik,0.0,25.210268027822877,1
Texas Tech,28.687332604918637,66.50749252675611,,,,,28.687332604918637,66.50749252675611,torvik,-3.5,25.187332604918637,1
Kansas,24.875233221710786,67.20625104646592,,,,,24.875233221710786,67.20625104646592,torvik,0.0,24.875233221710786,1
Nebraska,24.50268520300412,66.60547434370652,,,,,24.50268520300412,66.60547434370652,torvik,0.0,24.50268520300412,1
Wisconsin,23.634948353669998,68.8662200598455,,,,,23.634948353669998,68.8662200598455,torvik,0.0,23.634948353669998,1
St John's,23.420170403913204,69.79122374705031,,,,,23.4201704039132,69.79122374705031,torvik,0.0,23.4201704039132,1
Ohio St.,22.13575415242633,66.13804429245893,,,,,22.13575415242633,66.13804429245893,torvik,0.0,22.13575415242633,1
Iowa,21.922646872530123,62.85492268111231,,,,,21.922646872530123,62.85492268111231,torvik,0.0,21.922646872530123,1
St Mary's CA,21.741592142551283,65.20858742659154,,,,,21.74159214255128,65.20858742659154,torvik,0.0,21.74159214255128,1
Indiana,21.346352616140578,66.03376228223826,,,,,21.346352616140578,66.03376228223826,torvik,0.0,21.346352616140578,1
UCLA,20.898731073225065,64.55152827897001,,,,,20.898731073225065,64.55152827897001,torvik,0.0,20.898731073225065,1
Santa Clara,20.59341075778042,69.89462830174047,,,,,20.59341075778042,69.89462830174047,torvik,0.0,20.59341075778042,1
Georgia,20.453854612627836,71.57361852501397,,,,,20.453854612627833,71.57361852501397,torvik,0.0,20.453854612627833,1
Texas A&M,20.24964846969756,71.0782650125079,,,,,20.24964846969756,71.0782650125079,torvik,0.0,20.24964846969756,1
St Louis,20.008323240422072,70.92823443839848,,,,,20.008323240422072,70.92823443839848,torvik,0.0,20.008323240422072,1
Kentucky,20.002167931905902,67.96378089257531,,,,,20.0021679319059,67.96378089257531,torvik,0.0,20.0021679319059,1
N.C. State,19.998329615510002,68.85708604822344,,,,,19.998329615510002,68.85708604822344,torvik,0.0,19.998329615510002,1
Utah St.,19.95790237412713,67.42430416900905,,,,,19.95790237412713,67.42430416900905,torvik,0.0,19.95790237412713,1
Clemson,19.853309306106183,64.23514335512287,,,,,19.853309306106183,64.23514335512287,torvik,0.0,19.853309306106183,1
Cincinnati,19.77107830888704,67.7238306502175,,,,,19.77107830888704,67.7238306502175,torvik,0.0,19.77107830888704,1
Miami FL,19.56692409492159,68.19056236290552,,,,,19.56692409492159,68.19056236290552,torvik,0.0,19.56692409492159,1
Villanova,19.49951274815139,64.62184000357946,,,,,19.49951274815139,64.62184000357946,torvik,0.0,19.49951274815139,1
Texas,19.254463484283406,66.69831168658752,,,,,19.254463484283406,66.69831168658752,torvik,0.0,19.254463484283406,1
North Carolina,22.113733615242467,67.69389818516167,,,,,22.113733615242463,67.69389818516167,torvik,-3.0,19.113733615242463,1
Auburn,18.860257287851113,67.23565749957045,,,,,18.860257287851113,67.23565749957045,torvik,0.0,18.860257287851113,1
SMU,18.497805943809425,68.79810468905349,,,,,18.497805943809425,68.79810468905349,torvik,0.0,18.497805943809425,1
Missouri,17.167288483021935,66.23500009294919,,,,,17.167288483021935,66.23500009294919,torvik,0.0,17.167288483021935,1
BYU,19.351972784749094,69.7994172487821,,,,,19.351972784749094,69.7994172487821,torvik,-2.2,17.151972784749095,1
Oklahoma,17.14071746823751,66.15119530793875,,,,,17.14071746823751,66.15119530793875,torvik,0.0,17.14071746823751,1
San Diego St,16.794821762199675,68.57566227985393,,,,,16.794821762199675,68.57566227985393,torvik,0.0,16.794821762199675,1
Baylor,15.962349499686965,67.73056306426346,,,,,15.962349499686965,67.73056306426346,torvik,0.0,15.962349499686965,1
UCF,15.772824338862875,69.0031622177211,,,,,15.772824338862875,69.0031622177211,torvik,0.0,15.772824338862875,1
Washington,15.518165995228458,66.9257283264901,,,,,15.518165995228458,66.9257283264901,torvik,0.0,15.518165995228458,1
Virginia Tech,14.745094708724835,66.99882868854291,,,,,14.745094708724835,66.99882868854291,torvik,0.0,14.745094708724835,1
New Mexico,14.682984412967244,69.91226999218193,,,,,14.682984412967244,69.91226999218193,torvik,0.0,14.682984412967244,1
